file_name,label
file_1001.jpg,이별
file_1002.jpg,실망
file_1003.jpg,도망
file_1004.jpg,공격
file_1005.jpg,짜증
file_1006.jpg,미소
file_1007.jpg,짜증
file_1008.jpg,짜증
file_1009.jpg,짜증
file_1010.jpg,거부
file_1011.jpg,한탄
file_1012.jpg,거부
file_1013.jpg,그만
file_1014.jpg,세수
file_1015.jpg,환영
file_1016.jpg,짜증
file_1017.jpg,피곤
file_1018.jpg,피곤
file_1019.jpg,미소
file_1020.jpg,피곤
file_1021.jpg,시원
file_1022.jpg,최악
file_1023.jpg,최악
file_1024.jpg,환영
file_1025.jpg,미소
file_1026.jpg,조언
file_1027.jpg,충고
file_1028.jpg,배고픔
file_1029.jpg,거부
file_1030.jpg,식사
file_1031.jpg,식사
file_1032.jpg,식사
file_1033.jpg,무정
file_1034.jpg,갈등
file_1035.jpg,명령
file_1036.jpg,울분
file_1037.jpg,비하
file_1038.jpg,놀라움
file_1039.jpg,괴물
file_1040.jpg,짜증
file_1041.jpg,비하
file_1042.jpg,공포
file_1043.jpg,무관심
file_1044.jpg,미소
file_1045.jpg,세상
file_1046.jpg,방치
file_1047.jpg,짜증
file_1048.jpg,분노
file_1049.jpg,사랑
file_1050.jpg,심심
file_1051.jpg,놀라움
file_1052.jpg,삶
file_1053.jpg,격려
file_1054.jpg,칭찬
file_1055.jpg,칭찬
file_1056.jpg,공격
file_1057.jpg,화해
file_1058.jpg,격려
file_1059.jpg,피곤
file_1060.jpg,그리움
file_1061.jpg,무관심
file_1062.jpg,거부
file_1063.jpg,놀림
file_1064.jpg,궁금
file_1065.jpg,미소
file_1066.jpg,경멸
file_1067.jpg,거부
file_1068.jpg,거부
file_1069.jpg,욕심
file_1070.jpg,개
file_1071.jpg,짜증
file_1072.jpg,무관심
file_1073.jpg,자랑
file_1074.jpg,자랑
file_1075.jpg,춤
file_1076.jpg,위협
file_1077.jpg,형
file_1078.jpg,춤
file_1079.jpg,협박
file_1080.jpg,감사
file_1081.jpg,협박
file_1082.jpg,감옥
file_1083.jpg,놀라움
file_1084.jpg,분노
file_1085.jpg,생각
file_1086.jpg,감옥
file_1087.jpg,미인
file_1088.jpg,식사
